id,english,tamil_reference,domain,topic,generated_tamil
1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""",wikinews,"disease, research, canada","""இப்போது எங்களிடம் 4 மாத வயது எலிகள் உள்ளன, அவை நீரிழிவு அல்லாதவை, அவை முன்பு நீரிழிவு நோயால் பாதிக்கப்பட்டன"" என்று அவர் மேலும் கூறினார்."
2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.",wikinews,"disease, research, canada","நோவா ஸ்கோடியாவின் ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் எஹுத் உர், ஆராய்ச்சி இன்னும் அதன் ஆரம்ப நாட்களில் இருப்பதாக எச்சரித்தார்."
3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.",wikinews,"disease, research, canada","மற்ற சில நிபுணர்களைப் போலவே, நீரிழிவு நோயைக் குணப்படுத்த முடியுமா என்பது குறித்து அவருக்கு சந்தேகம் உள்ளது, இந்த கண்டுபிடிப்புகள் ஏற்கனவே வகை 1 நீரிழிவு நோயால் பாதிக்கப்பட்டவர்களுக்கு எந்த தொடர்பும் இல்லை என்பதைக் குறிப்பிடுகிறது."
4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.",wikinews,music,"திங்களன்று, ஸ்வீடிஷ் அகாடமியின் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தரச் செயலாளரான சாரா டேனியஸ், ஸ்வீடனில் உள்ள ஸ்வெரிஜஸ் வானொலியில் ஒரு வானொலி நிகழ்ச்சியின் போது பகிரங்கமாக அறிவித்தார், 2016 ஆம் ஆண்டின் இலக்கியத்திற்கான நோபல் பரிசை வெல்வது குறித்து பாப் டிலானை நேரடியாக அணுக முடியாமல், அவரை அணுகுவதற்கான முயற்சிகளை குழு கைவிட்டது."
5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""",wikinews,music,"டேனியஸ், ""இப்போது நாங்கள் எதுவும் செய்யவில்லை. நான் அவரது நெருங்கிய ஒத்துழைப்பாளரை அழைத்து மின்னஞ்சல்களை அனுப்பியுள்ளேன், மேலும் மிகவும் நட்பான பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது நிச்சயமாக போதுமானது""."
6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.",wikinews,business,"முன்னதாக, ரிங்கின் தலைமை நிர்வாக அதிகாரி ஜேமி சிமினோஃப், தனது கேரேஜில் உள்ள தனது கடையில் இருந்து அவரது கதவு மணி கேட்கப்படாதபோது நிறுவனம் தொடங்கியது என்று குறிப்பிட்டார்."
7,"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.",wikinews,business,"அவர் ஒரு வைஃபை கதவு மணியை உருவாக்கினார், என்றார்."
8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.",wikinews,business,"2013 ஆம் ஆண்டு ஷார்க் டேங்க் எபிசோடில் தோன்றிய பின்னர் விற்பனை அதிகரித்ததாக சிமினோஃப் கூறினார், அங்கு நிகழ்ச்சி குழு தொடக்கத்திற்கு நிதியளிக்க மறுத்துவிட்டது."
9,"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.",wikinews,business,"2017 ஆம் ஆண்டின் பிற்பகுதியில், சிமினோஃப் ஷாப்பிங் தொலைக்காட்சி சேனலான கியூவிசி இல் தோன்றினார்."
10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,wikinews,business,போட்டி பாதுகாப்பு நிறுவனமான ஏடிடி கார்ப்பரேஷனுடன் ஒரு வழக்கையும் ரிங் தீர்த்துக் கொண்டார்.
