model,sentence_id,english,tamil_reference,translated_tamil
NLLB-600M,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""","""நாம் இப்போது 4 மாத வயதுடைய சுபாவ நோய் இல்லாத எலிகள் இருக்கிறோம், முன்பு அவை சுபாவ நோயுற்றவை"", என்று அவர் மேலும் கூறினார்."
NLLB-600M,2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","ஹாலிஃபாக்கில் உள்ள டால்ஹூசி பல்கலைக்கழகத்தில் மருத்துவப் பேராசிரியரும், கனடிய நீரிழிவு நோய் சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவரும் டாக்டர் எஹுட் உர், இந்த ஆராய்ச்சி இன்னும் ஆரம்ப காலங்களில் உள்ளது என்று எச்சரித்தார்."
NLLB-600M,3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","சில நிபுணர்களைப் போலவே, நீரிழிவு நோயை குணப்படுத்த முடியுமா என்பது குறித்து அவர் சந்தேகிக்கின்றார்."
NLLB-600M,4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","ஸ்வீடன் அகாடமியில் இலக்கியத்திற்கான நோபல் குழுவின் நிரந்தர செயலாளர் சாரா டானியஸ், திங்களன்று ஸ்வீடனில் ஸ்வெர்டிஸ் வானொலி நிகழ்ச்சியின் போது அறிவித்தார். இந்த குழு, 2016 இலக்கியத்திற்கான நோபல் பரிசை வென்றதற்காக போப் டிலனை நேரடியாக தொடர்பு கொள்ள முடியவில்லை, அவரை அடைய தனது முயற்சிகளை கைவிட்டதாக அறிவித்தது."
NLLB-600M,5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""","டானியஸ் கூறினார், ""இப்போது நாங்கள் எதுவும் செய்யவில்லை. நான் அவரது நெருங்கிய ஒத்துழைப்பாளருக்கு மின்னஞ்சல்களை அழைத்து அனுப்பியுள்ளேன், மிகவும் நட்புடன் பதில்களைப் பெற்றேன். இப்போதைக்கு, அது நிச்சயமாக போதுமானது. """
NLLB-600M,6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.","முன்னதாக, ரிங்கின் தலைமை நிர்வாக அதிகாரி ஜேமி சிமினோஃப், தனது கார்ஜில் உள்ள தனது கடையிலிருந்து அவரது கதவு மணி கேட்கப்படாதபோது நிறுவனம் தொடங்கியது என்று குறிப்பிட்டார்."
NLLB-600M,7,"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.","அவர் ஒரு WiFi கதவு மணி கட்டப்பட்டது, அவர் கூறினார்."
NLLB-600M,8,Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.,"ஸிமினாஃப், 2013 ஆம் ஆண்டு ஷார் டேங்க் தொடரில் தான் தோன்றியது மற்றும் அவர்கள் தன் ஸ்டார்ட் அப் நிறுவனத்திற்கு பணம் அளிக்க மறுத்ததன் பின்னர் அவரது விற்பனை பெருகியது என்று தெரிவித்தார்.","ஷார்க் டாங்கிப் நிகழ்ச்சியில் 2013 இல் அவர் நடித்த பின்னர் விற்பனை அதிகரித்தது என்று சிமினோவ் கூறினார், அங்கு நிகழ்ச்சி குழு நிறுவனத்திற்கு நிதியளிப்பதை மறுத்தது."
NLLB-600M,9,"In late 2017, Siminoff appeared on shopping television channel QVC.","சிமினோஃப் 2017 இன் பிற்பகுதியில், ஷாப்பிங் தொலைக்காட்சி சேனலான QVC இல் தோன்றினார்.","2017 ஆம் ஆண்டின் பிற்பகுதியில், சிமினோவ் ஷாப்பிங் தொலைக்காட்சி சேனல் QVC இல் தோன்றினார்."
NLLB-600M,10,"Ring also settled a lawsuit with competing security company, the ADT Corporation.",ரிங் அதன் போட்டி பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் உரிமை கோரல் வழக்கை தீர்த்துக் கொண்டது.,"ரிங், போட்டியிடும் பாதுகாப்பு நிறுவனமான ADT கார்ப்பரேஷனுடன் வழக்குத் தீர்த்தது."
mT5-base,1,"""We now have 4-month-old mice that are non-diabetic that used to be diabetic,"" he added.","""""""எங்களிடம் இப்போது  4-மாத-வயதுடைய எலி ஒன்று உள்ளது, முன்னர் அதற்கு நீரிழிவு இருந்தது தற்போது இல்லை"""" என்று அவர் மேலும் கூறினார்.""",<extra_id_0> a few.
mT5-base,2,"Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.","ஹாலிஃபாக்ஸில் உள்ள டல்ஹெளசி பல்கலைக்கழகத்தின் மருத்துவப் பேராசிரியரும், நோவா ஸ்கோட்டியா மற்றும் கனேடிய நீரிழிவு சங்கத்தின் மருத்துவ மற்றும் அறிவியல் பிரிவின் தலைவருமான டாக்டர் இஹுத் உர், ஆராய்ச்சி இன்னும் ஆரம்ப நாட்களில்தான் உள்ளது என்று எச்சரித்துள்ளார்.","<extra_id_0>, a few months"
mT5-base,3,"Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.","பிற வல்லுனர்கள் போலவே அவரும், ஏற்கனவே டைப் 1 இரத்த சர்க்கரை நோயுள்ளவர்களுக்கு இந்த கண்டுபிடிப்புகள் பொருந்தவில்லை என்பதால் இரத்த சர்க்கரை நோயிற்கு நிவாரணம் உள்ளதா என்பது குறித்து சந்தேகமடைகிறார்.","<extra_id_0>, although he is"
mT5-base,4,"On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.","திங்கட் கிழமையன்று ஸ்வீடிஷ் அகேடமியில் இலக்கியத்திற்கான நோபல் குழுவின் செயலாளர், சாரா டேனியஸ் ஸ்வீடனின் ஸ்வெரிஜெஸ் ரேடியோவின் ஒரு ரேடியோ நிகழ்ச்சியில், பாப் டைலன் 2016ஆம் வருட இலக்கியத்திற்கான நோபல் பரிசு வென்றதை அவரிடம் நேரிடையாக அறிவிக்க இயலவில்லை என்றும் அவரை அடையும் முயற்சி கைவிடப்பட்டது என்றும் பொதுவாக அறிவித்தார்.","<extra_id_0>, a Swedish newspaper."
mT5-base,5,"Danius said, ""Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough.""","""""""இப்போது நாம் ஒன்றும் செய்யவில்லை. நான் அவரது நெருங்கிய கூட்டாளிக்கு அழைப்பு செய்து மின்னஞ்சல்களை அனுப்பி, மிகவும் நட்புடன் பதில்களைப் பெற்றுள்ளேன். இப்போதைக்கு, அது போதுமானது."""" என்று டானியஸ் கூறினார்.""","<extra_id_0>, a few."
mT5-base,6,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.","முன்பு, ரிங்க்ஸின் சீஈஓ ஜேமி ஸிமினாஃப், அவருக்கு அவரது கேரேஜினுள் உள்ள கடைக்குள் கதவு அறிவிப்பு மணியின் ஒலி கேட்காத காரணத்தால், அந்த நிறுவனம் துவங்கப்பட்டது என்பதை குறிப்பிட்டார்.","<extra_id_0>, a few."
mT5-base,7,"He built a WiFi door bell, he said.","அவர், தான் வைஃபை கதவு அறிவிப்பு மணியை உருவாக்கியதாகக் கூறினார்.",<extra_id_0>.
